Fecha,Estacion,Caudal
2016-07-04,Andacollo,22.16
2016-07-04,BajadaDelAgrio,21.15
2016-07-04,PasodeIndios,84.65
2016-07-05,Andacollo,21.58
2016-07-05,BajadaDelAgrio,21.15
2016-07-05,PasodeIndios,84.01
2016-07-06,Andacollo,20.97
2016-07-06,BajadaDelAgrio,21.24
2016-07-06,PasodeIndios,80.98
2016-07-07,Andacollo,20.49
2016-07-07,BajadaDelAgrio,22.57
2016-07-07,PasodeIndios,78.39
2016-07-08,Andacollo,20.22
2016-07-08,BajadaDelAgrio,22.88
2016-07-08,PasodeIndios,77.54
2016-07-09,Andacollo,20.84
2016-07-09,BajadaDelAgrio,25.57
2016-07-09,PasodeIndios,75.2
2016-07-10,Andacollo,21.05
2016-07-10,BajadaDelAgrio,25.87
2016-07-10,PasodeIndios,74.97
2016-07-11,Andacollo,26.7
2016-07-11,BajadaDelAgrio,25.87
2016-07-11,PasodeIndios,75.59
2016-07-12,Andacollo,33.37
2016-07-12,BajadaDelAgrio,25.96
2016-07-12,PasodeIndios,81.16
2016-07-13,Andacollo,31.15
2016-07-13,BajadaDelAgrio,26.78
2016-07-13,PasodeIndios,94.86
2016-07-14,Andacollo,35.1
2016-07-14,BajadaDelAgrio,30.2
2016-07-14,PasodeIndios,103.15
2016-07-15,Andacollo,43.06
2016-07-15,BajadaDelAgrio,30.85
2016-07-15,PasodeIndios,109.36
2016-07-16,Andacollo,32.8
2016-07-16,BajadaDelAgrio,33.75
2016-07-16,PasodeIndios,101.63
2016-07-17,Andacollo,31.25
2016-07-17,BajadaDelAgrio,38.25
2016-07-17,PasodeIndios,98.35
2016-07-18,Andacollo,32.97
2016-07-18,BajadaDelAgrio,41.76
2016-07-18,PasodeIndios,98.1
2016-07-19,Andacollo,32.25
2016-07-19,BajadaDelAgrio,43.67
2016-07-19,PasodeIndios,97.43
2016-07-20,Andacollo,30.66
2016-07-20,BajadaDelAgrio,46.57
2016-07-20,PasodeIndios,94.92
2016-07-21,Andacollo,31.19
2016-07-21,BajadaDelAgrio,49.6
2016-07-21,PasodeIndios,103.2
2016-07-22,Andacollo,34.82
2016-07-22,BajadaDelAgrio,49.99
2016-07-22,PasodeIndios,139.91
2016-07-23,Andacollo,35.95
2016-07-23,BajadaDelAgrio,51.44
2016-07-23,PasodeIndios,164.64
2016-07-24,Andacollo,38.17
2016-07-24,BajadaDelAgrio,55.81
2016-07-24,PasodeIndios,186.04
2016-07-25,Andacollo,54.9
2016-07-25,BajadaDelAgrio,58.07
2016-07-25,PasodeIndios,201.91
2016-07-26,Andacollo,62.78
2016-07-26,BajadaDelAgrio,57.58
2016-07-26,PasodeIndios,192.7
2016-07-27,Andacollo,53.45
2016-07-27,BajadaDelAgrio,49.92
2016-07-27,PasodeIndios,173.79
2016-07-28,Andacollo,47.3
2016-07-28,BajadaDelAgrio,45.23
2016-07-28,PasodeIndios,163.91
2016-07-29,Andacollo,45.27
